#Wort #Wortart #Person #Numerus #Genus #Modus #Tempus #Kasus #In/Finit #Name #Satzglied #Satzteil
der Artikel dritte singular maskulim - - nominativ - nein kA kA
die Artikel dritte singular feminim - - nominativ - nein kA kA
das Artikel dritte singular neutral - - nominativ - nein kA kA
des Artikel dritte singular neutral - - genetiv - nein kA kA
dem Artikel dritte singular maskulim - - dativ - nein kA kA
den Artikel dritte singular neutral - - akkusativ - nein kA kA
ein Artikel dritte singular neutral - - nominativ - nein kA kA
eine Artikel dritte singular feminim - - nominativ - nein kA kA
eines Artikel dritte singular neutral - - genetiv - nein kA kA
einer Artikel dritte singular feminim - - genetiv - nein kA kA
einem Artikel dritte singular maskulim - - dativ - nein kA kA
einen Artikel dritte singular maskulim - - akkusativ - nein kA kA
kein Artikel dritte singular neutral - - nominativ - nein kA kA
keine Artikel dritte singular feminim - - nominativ - nein kA kA
keines Artikel dritte singular neutral - - genetiv - nein kA kA
keiner Artikel dritte singular feminim - - genetiv - nein kA kA
keinem Artikel dritte singular maskulim - - dativ - nein kA kA
keinen Artikel dritte singular maskulim - - akkusativ - nein kA kA
nicht Adverb - - - - - - - nein kA kA
wen Fragewort - - - - - - - nein kA kA
wem Fragewort - - - - - - - nein kA kA
was Fragewort - - - - - - - nein kA kA
wer Fragewort - - - - - - - nein kA kA
wie Fragewort - - - - - - - nein kA kA
wo Fragewort - - - - - - - nein kA kA
woher Fragewort - - - - - - - nein kA kA
wohin Fragewort - - - - - - - nein kA kA
wessen Fragewort - - - - - - - nein kA kA
wann Fragewort - - - - - - - nein kA kA
warum Fragewort - - - - - - - nein kA kA
weshalb Fragewort - - - - - - - nein kA kA
welche Fragewort - - - - - - - nein kA kA
welcher Fragewort - - - - - - - nein kA kA
welches Fragewort - - - - - - - nein kA kA
welchen Fragewort - - - - - - - nein kA kA
welchem Fragewort - - - - - - - nein kA kA
woran Fragewort - - - - - - - nein kA kA
wenn Konjunktion - - - - - - - nein kA kA
weil Konjunktion - - - - - - - nein kA kA
dass Konjunktion - - - - - - - nein kA kA
aber Konjunktion - - - - - - - nein kA kA
als Konjunktion - - - - - - - nein kA kA
anstatt Konjunktion - - - - - - - nein kA kA
auch Konjunktion - - - - - - - nein kA kA
bevor Konjunktion - - - - - - - nein kA kA
beziehungsweise Konjunktion - - - - - - - nein kA kA
denn Konjunktion - - - - - - - nein kA kA
desto Konjunktion - - - - - - - nein kA kA
damit Konjunktion - - - - - - - nein kA kA
doch Konjunktion - - - - - - - nein kA kA
ehe Konjunktion - - - - - - - nein kA kA
eh Konjunktion - - - - - - - nein kA kA
indem Konjunktion - - - - - - - nein kA kA
indessen Konjunktion - - - - - - - nein kA kA
indes Konjunktion - - - - - - - nein kA kA
insofern Konjunktion - - - - - - - nein kA kA
sofern Konjunktion - - - - - - - nein kA kA
insoweit Konjunktion - - - - - - - nein kA kA
soweit Konjunktion - - - - - - - nein kA kA
je Konjunktion - - - - - - - nein kA kA
jedoch Konjunktion - - - - - - - nein kA kA
nachdem Konjunktion - - - - - - - nein kA kA
ob Konjunktion - - - - - - - nein kA kA
obgleich Konjunktion - - - - - - - nein kA kA
obschon Konjunktion - - - - - - - nein kA kA
obwohl Konjunktion - - - - - - - nein kA kA
obzwar Konjunktion - - - - - - - nein kA kA
oder Konjunktion - - - - - - - nein kA kA
seit Konjunktion - - - - - - - nein kA kA
so Konjunktion - - - - - - - nein kA kA
sobald Konjunktion - - - - - - - nein kA kA
sodass Konjunktion - - - - - - - nein kA kA
sofern Konjunktion - - - - - - - nein kA kA
solang Konjunktion - - - - - - - nein kA kA
solange Konjunktion - - - - - - - nein kA kA
sondern Konjunktion - - - - - - - nein kA kA
sooft Konjunktion - - - - - - - nein kA kA
soviel Konjunktion - - - - - - - nein kA kA
soweit Konjunktion - - - - - - - nein kA kA
sowie Konjunktion - - - - - - - nein kA kA
sowohl Konjunktion - - - - - - - nein kA kA
statt Konjunktion - - - - - - - nein kA kA
sonst Konjunktion - - - - - - - nein kA kA
um Konjunktion - - - - - - - nein kA kA
umso Konjunktion - - - - - - - nein kA kA
und Konjunktion - - - - - - - nein kA kA
unerachtet Konjunktion - - - - - - - nein kA kA
ungeachtet Konjunktion - - - - - - - nein kA kA
wobei Konjunktion - - - - - - - nein kA kA
während Konjunktion - - - - - - - nein kA kA
währendem Konjunktion - - - - - - - nein kA kA
währendessen Konjunktion - - - - - - - nein kA kA
weder Konjunktion - - - - - - - nein kA kA
weil Konjunktion - - - - - - - nein kA kA
wenn Konjunktion - - - - - - - nein kA kA
wenngleich Konjunktion - - - - - - - nein kA kA
wennschon Konjunktion - - - - - - - nein kA kA
wiewohl Konjunktion - - - - - - - nein kA kA
wofern Konjunktion - - - - - - - nein kA kA
wohingegen Konjunktion - - - - - - - nein kA kA
abzüglich Präposition - - - - - genetiv - nein kA kA
angesichts Präposition - - - - - genetiv - nein kA kA
anstatt Präposition - - - - - genetiv - nein kA kA
statt Präposition - - - - - genetiv - nein kA kA
außerhalb Präposition - - - - - genetiv - nein kA kA
bar Präposition - - - - - genetiv - nein kA kA
behufs Präposition - - - - - genetiv - nein kA kA
bezüglich Präposition - - - - - genetiv - nein kA kA
diesseits Präposition - - - - - genetiv - nein kA kA
einschließlich Präposition - - - - - genetiv - nein kA kA
entlang Präposition - - - - - genetiv - nein kA kA
infolge Präposition - - - - - genetiv - nein kA kA
innerhalb Präposition - - - - - genetiv - nein kA kA
inmitten Präposition - - - - - genetiv - nein kA kA
jenseits Präposition - - - - - genetiv - nein kA kA
kraft Präposition - - - - - genetiv - nein kA kA
längs Präposition - - - - - genetiv - nein kA kA
mittels Präposition - - - - - genetiv - nein kA kA
ob Präposition - - - - - genetiv - nein kA kA
oberhalb Präposition - - - - - genetiv - nein kA kA
seitens Präposition - - - - - genetiv - nein kA kA
trotz Präposition - - - - - genetiv - nein kA kA
unbeschadet Präposition - - - - - genetiv - nein kA kA
ungeachtet Präposition - - - - - genetiv - nein kA kA
unterhalb Präposition - - - - - genetiv - nein kA kA
unweit Präposition - - - - - genetiv - nein kA kA
während Präposition - - - - - genetiv - nein kA kA
wegen Präposition - - - - - genetiv - nein kA kA
zugunsten Präposition - - - - - genetiv - nein kA kA
aus Präposition - - - - - dativ - nein kA kA
außer Präposition - - - - - dativ - nein kA kA
bei Präposition - - - - - dativ - nein kA kA
entgegen Präposition - - - - - dativ - nein kA kA
entsprechend Präposition - - - - - dativ - nein kA kA
gegenüber Präposition - - - - - dativ - nein kA kA
gemäß Präposition - - - - - dativ - nein kA kA
mit Präposition - - - - - dativ - nein kA kA
mitsamt Präposition - - - - - dativ - nein kA kA
samt Präposition - - - - - dativ - nein kA kA
nach Präposition - - - - - dativ - nein kA kA
nächst Präposition - - - - - dativ - nein kA kA
nahe Präposition - - - - - dativ - nein kA kA
nebst Präposition - - - - - dativ - nein kA kA
seit Präposition - - - - - dativ - nein kA kA
von Präposition - - - - - dativ - nein kA kA
zu Präposition - - - - - dativ - nein kA kA
an Präposition - - - - - datakk - nein kA kA
auf Präposition - - - - - datakk - nein kA kA
hinter Präposition - - - - - datakk - nein kA kA
in Präposition - - - - - datakk - nein kA kA
im Präposition - - - - - dativ - nein kA kA
neben Präposition - - - - - datakk - nein kA kA
über Präposition - - - - - datakk - nein kA kA
unter Präposition - - - - - datakk - nein kA kA
vor Präposition - - - - - datakk - nein kA kA
zwischen Präposition - - - - - datakk - nein kA kA
bis Präposition - - - - - akkusativ - nein kA kA
durch Präposition - - - - - akkusativ - nein kA kA
für Präposition - - - - - akkusativ - nein kA kA
gegen Präposition - - - - - akkusativ - nein kA kA
je Präposition - - - - - akkusativ - nein kA kA
ohne Präposition - - - - - akkusativ - nein kA kA
um Präposition - - - - - akkusativ - nein kA kA
wider Präposition - - - - - akkusativ - nein kA kA
zur Präposition - - - - - dativ - nein kA kA
zum Präposition - - - - - dativ - nein kA kA
ich Pronomen erste singular - - - - - nein kA kA
du Pronomen zweite singular - - - - - nein kA kA
er Pronomen dritte singular maskulim - - - - nein kA kA
sie Pronomen dritte singular feminim - - - - nein kA kA
ihm Pronomen dritte singular maskulim - - - - nein kA kA
ihnen Pronomen dritte singular- - - - - nein kA kA
es Pronomen dritte singular maskulim - - - - nein kA kA
wir Pronomen erste plural - - - - - nein kA kA
ihr Pronomen erste plural - - - - - nein kA kA
befehle Verb erste singular - indikativ präsens - finit nein kA kA
befiehlst Verb zweite singular - indikativ präsens - finit nein kA kA
befiehlt Verb dritte singular - indikativ präsens - finit nein kA kA
befehlen Verb erste plural - indikativ präsens - finit nein kA kA
beginne Verb erste singular - indikativ präsens - finit nein kA kA
beginnst Verb zweite singular - indikativ präsens - finit nein kA kA
beginnt Verb dritte singular - indikativ präsens - finit nein kA kA
beginnen Verb erste plural - indikativ präsens - finit nein kA kA
berge Verb erste singular - indikativ präsens - finit nein kA kA
bergst Verb zweite singular - indikativ präsens - finit nein kA kA
bergt Verb dritte singular - indikativ präsens - finit nein kA kA
bergen Verb erste plural - indikativ präsens - finit nein kA kA
biege Verb erste singular - indikativ präsens - finit nein kA kA
biegst Verb zweite singular - indikativ präsens - finit nein kA kA
biegt Verb dritte singular - indikativ präsens - finit nein kA kA
biegen Verb erste plural - indikativ präsens - finit nein kA kA
-biegt Verb zweite plural - indikativ präsens - finit nein kA kA
-biegen Verb dritte plural - indikativ präsens - finit nein kA kA
beiße Verb erste singular - indikativ präsens - finit nein kA kA
-beißt Verb zweite singular - indikativ präsens - finit nein kA kA
beißt Verb dritte singular - indikativ präsens - finit nein kA kA
beißen Verb erste plural - indikativ präsens - finit nein kA kA
-beißt Verb zweite plural - indikativ präsens - finit nein kA kA
-beißen Verb dritte plural - indikativ präsens - finit nein kA kA
